id,item,name,error,gold,prediction,gold_evidence,predicted_evidence
PPS-DEV-01,v1,참가자격 특정기관 제한,FN,1,0,"라. 본 용역은 「고등교육법」 제2조에 따른 대학 또는 「산업교육진흥
및 산학연협력촉진에 관한 법률」 제25조에 따른 산학협력단만 참여 가능함",
PPS-DEV-25,v1,참가자격 특정기관 제한,FP,0,1,,입찰참가자격 서류접수마감일(입찰참가등록마감일) 기준 국가종합전자조달시스템에 학술 · 연구용역[업종코드: 1169]과 행사대행업[업종코드: 9901] 모두 등록한 자
PPS-DEV-046,v1,참가자격 특정기관 제한,FN,1,0,,
PPS-DEV-048,v1,참가자격 특정기관 제한,FP,0,1,,
PPS-DEV-050,v1,참가자격 특정기관 제한,FP,0,1,,「농업기계화촉진법」제11조 및 같은 법 시행규칙 제17조에 따라 농업기계 사후 관리업[대형(업종코드:7268)또는 중형(업종코드:7269)또는 소형(업종코드:7270)]로 입찰참가자격 등록한 업체로 보조사업자가 제시한 규격서와 동등하거나 이상의 물품을 제조 또는 공급이 가능한 업체
PPS-DEV-057,v1,참가자격 특정기관 제한,FP,0,1,,
PPS-DEV-058,v1,참가자격 특정기관 제한,FN,1,0,,
PPS-DEV-059,v1,참가자격 특정기관 제한,FP,0,1,,
PPS-DEV-063,v1,참가자격 특정기관 제한,FN,1,0,,
PPS-DEV-066,v1,참가자격 특정기관 제한,FP,0,1,,"나. ｢청소년기본법｣ 제18조 및 ｢청소년활동진흥법｣ 제11조에 따라 경기도 여주, 양평 관내에 등록된 청소년수련시설(청소년수련관, [기관(공공시설)], 유스호스텔)로서, 여성가족부 청소년수련시설 종합평가 결과 “적정”등급 이상을 받고, 청소년활동정보서비스([기관홈페이지] 인증된 프로그램을 보유·운영하는 업체이어야 합니다."
PPS-DEV-071,v1,참가자격 특정기관 제한,FP,0,1,,"공고일 전날【신규사업자(법인인 경우 법인 등기일, 개인사업자인 경우 사업자등록일을 기준으로 한다)인 경우 입찰공고일 이후 포함】부터 입찰일(낙찰자는 계약체결일)까지 법인등기부상 본점소재지(개인사업자인 경우에는 사업자등록증 또는 관련 법령에 따른 허가ㆍ인가ㆍ면허ㆍ등록ㆍ신고 등에 관련된 서류에 기재된 사업장의 소재지)가 [수요기관(기초자치단체)]내에 소재하고"
PPS-DEV-072,v1,참가자격 특정기관 제한,FN,1,0,,
PPS-DEV-059,v2,고시금액 미만 실적제한,FP,0,1,,"◦ 공고일 기준 최근 3년 이내 공공기관(국가,지자체,공기업 포함) 통근버스 운행 실적이 2억원 이상 있는 업체만 참가 자격이 있습니다."
PPS-DEV-06,v4,"고시금액 이상 특정기관, 특정실적",FN,1,0,다. 최근 5년간 국가기관이 발주한 국제회의 개최 대행 용역의 이행실적이 4억원 이상인 업체,
PPS-DEV-25,v4,"고시금액 이상 특정기관, 특정실적",FP,0,1,,
PPS-DEV-042,v4,"고시금액 이상 특정기관, 특정실적",FN,1,0,,
PPS-DEV-066,v4,"고시금액 이상 특정기관, 특정실적",FP,0,1,,
PPS-DEV-071,v4,"고시금액 이상 특정기관, 특정실적",FP,0,1,,공고일 전일 기준 최근 10년 이내 국가 및 지자체 등 공공기관 또는 민간단체에서 발주하여 완료된 단일 행사 기준 5억원 이상 실적이 있는 업체이어야 합니다.
PPS-DEV-123,v4,"고시금액 이상 특정기관, 특정실적",FP,0,1,,"최근 5년(2021.6.1.~현재)이내 국가, 지방자치단체, 공공기관(공공기관운영에관한법률 제4조 내지 제6조에 따라 지정․고시된 공공기관)에 작품 당 1억원 이상의 미술작품을 납품·제작·설치한 실적의 합"
PPS-DEV-129,v4,"고시금액 이상 특정기관, 특정실적",FP,0,1,,지속가능경영보고서 발간 실적은 입찰공고일 기준 최근 3년간 단독 수행하여 완료된 과업 실적에 한함
PPS-DEV-09,v5,고시금액 이상 지역제한,FP,0,1,,"마. 주된 영업소(본사 소재지를 말함)가 입찰공고일 현재 광주광역시, 전라남도의 관할구역 안에 있어야 합니다."
PPS-DEV-046,v5,고시금액 이상 지역제한,FN,1,0,,
PPS-DEV-049,v5,고시금액 이상 지역제한,FN,1,0,,
PPS-DEV-050,v5,고시금액 이상 지역제한,FP,0,1,,공고일 전 일부터 입찰일까지(낙찰자는 계약체결일까지) 전라남도 또는 경상남도에 주된 영업소를 둔 업체
PPS-DEV-051,v5,고시금액 이상 지역제한,FP,0,1,,
PPS-DEV-061,v5,고시금액 이상 지역제한,FP,0,1,,
PPS-DEV-062,v5,고시금액 이상 지역제한,FP,0,1,,
PPS-DEV-077,v5,고시금액 이상 지역제한,FP,0,1,,"(낙찰자는 계약체결일까지 주된 영업소의 소재지를 강원특별자치도 내에 둔 사업자로 제한하며,"
PPS-DEV-084,v5,고시금액 이상 지역제한,FP,0,1,,바. 서울 또는 경기도에 소재한 사업자 또는 지점사업자
PPS-DEV-170,v5,고시금액 이상 지역제한,FP,0,1,,
PPS-DEV-07,v6,"고시금액 미만 지역제한 시,군,구",FP,0,1,,마. 본사(주된 영업소)의 소재지가 서울특별시에 있는 업체
PPS-DEV-08,v6,"고시금액 미만 지역제한 시,군,구",FN,1,0,라. 입찰공고일 전일부터 계약체결일까지 주된 영업소가 서울특별시 [지역:r1|단위=기초|광역=서울특별시] 내에 소재하고 있는 업체이어야 합니다.,
PPS-DEV-10,v6,"고시금액 미만 지역제한 시,군,구",FP,0,1,,③ 입찰공고일 전일부터 입찰일(낙찰자는 계약체결일)까지 법인등기부상 본점 소재지(개인사업자인 경우에는 사업자등록증 또는 관련 법령에 따른 허가·인가·면허·등록·신고 등에 관련된 서류에 기재된 사업장의 소재지)를 계속하여 전북특별자치도 또는 충청남도 또는 충청북도에 둔 업체여야 합니다.
PPS-DEV-045,v6,"고시금액 미만 지역제한 시,군,구",FP,0,1,,"② 입찰 공고일 전일(단, 신규사업자인 경우 입찰공고일 이후를 포함)부터 입찰일까지(낙찰자는 계약체결일까지) 주된 영업소의 소재지가 경기도인 업체"
PPS-DEV-048,v6,"고시금액 미만 지역제한 시,군,구",FP,0,1,,다. 공고일 기준 부가가치세법에 따른 이벤트행사대행업으로 당해 사업에 관한 사업자등록증을 갖춘 경북에 소재한 실적이 우수한 업체.
PPS-DEV-057,v6,"고시금액 미만 지역제한 시,군,구",FP,0,1,,라. 입찰공고일 기준 법인등기부등본(개인사업자는 사업등록증명원) 상 주된 사무소 소재지가 경기도로 기재되어 있는 업체
PPS-DEV-059,v6,"고시금액 미만 지역제한 시,군,구",FP,0,1,,본 용역은 지역제한(강원특별자치도 [지역:r1|단위=기초|광역=강원특별자치도]) 대상 용역입니다.
PPS-DEV-066,v6,"고시금액 미만 지역제한 시,군,구",FN,1,0,,
PPS-DEV-070,v6,"고시금액 미만 지역제한 시,군,구",FN,1,0,,
PPS-DEV-071,v6,"고시금액 미만 지역제한 시,군,구",FN,1,0,,
PPS-DEV-072,v6,"고시금액 미만 지역제한 시,군,구",FN,1,0,,
PPS-DEV-079,v6,"고시금액 미만 지역제한 시,군,구",FP,0,1,,5) 본 사업은 전북특별자치도 내 본사를 둔 사업에 한해서 입찰 가능
PPS-DEV-119,v6,"고시금액 미만 지역제한 시,군,구",FP,0,1,,
PPS-DEV-191,v6,"고시금액 미만 지역제한 시,군,구",FP,0,1,,
PPS-DEV-09,v7,고시금액 미만 지역제한 인접 확대,FN,1,0,"마. 주된 영업소(본사 소재지를 말함)가 입찰공고일 현재 광주광역시, 전라남도의 관할구역 안에 있어야 합니다.",
PPS-DEV-039,v7,고시금액 미만 지역제한 인접 확대,FN,1,0,⑤ 입찰공고일 전날부터 입찰일까지(낙찰자는 계약체결일까지) 주된 영업소의 소재지[법원등기부 상 본점소재지(개인사업자인 경우 사업자등록증 또는 관련 법령에 따른 허가·인가·면허·등록·신고 등에 관련서류에 기재된 사업장의 소재지)]가 경기도 또는 서울특별시인 업체,
PPS-DEV-045,v7,고시금액 미만 지역제한 인접 확대,FP,0,1,,"② 입찰 공고일 전일(단, 신규사업자인 경우 입찰공고일 이후를 포함)부터 입찰일까지(낙찰자는 계약체결일까지) 주된 영업소의 소재지가 경기도인 업체"
PPS-DEV-048,v7,고시금액 미만 지역제한 인접 확대,FP,0,1,,다. 공고일 기준 부가가치세법에 따른 이벤트행사대행업으로 당해 사업에 관한 사업자등록증을 갖춘 경북에 소재한 실적이 우수한 업체.
PPS-DEV-054,v7,고시금액 미만 지역제한 인접 확대,FN,1,0,"가. 입찰공고일 현재「지방자치단체를 당사자로 하는 계약에 관한 법률 시행령」제13조 및 같은 법 시행규칙 제14조에 따라 입찰의 참가자격을 갖춘 자로, 입찰공고일 전일부터 계약체결일까지 주된 영업소의 소재지를 경상남도, 부산광역시 내에 둔 사업자로 제한하며, 동법 시행령 제92조(부정당업자의 입찰참가자격 제한) 및 동법 시행규칙 제76조에 해당되지 않은 업체",
PPS-DEV-057,v7,고시금액 미만 지역제한 인접 확대,FP,0,1,,라. 입찰공고일 기준 법인등기부등본(개인사업자는 사업등록증명원) 상 주된 사무소 소재지가 경기도로 기재되어 있는 업체
PPS-DEV-063,v7,고시금액 미만 지역제한 인접 확대,FN,1,0,마. 입찰공고일 전일부터 입찰일(낙찰자는 계약체결일)까지 주된 영업소(지점 및 대리점 포함)“대구광역시”또는“경상북도”에 둔 업체,
PPS-DEV-066,v7,고시금액 미만 지역제한 인접 확대,FP,0,1,,
PPS-DEV-072,v7,고시금액 미만 지역제한 인접 확대,FN,1,0,2) 입찰공고일 전일부터 계약체결일까지 법인등기부상 본점 소재지(개인사업자인 경우 사업장등록증 또는 관련 법령에 따른 허가·면허·등록·신고에 관련된 서류에 기재된 사업장의 소재지)를 계속 경기도 [지역:r1|단위=기초|광역=경기도] 또는 제주도에 둔 업체,
PPS-DEV-04,v8,중복제한 (실적+지역),FP,0,1,,"최근 5년 간 단일 건으로 455,000,000원 이상(기초금액의 130% 이상)의 해양탐사 또는 수중조사 또는 침몰선박 조사·확인작업 분야 각종 작업 1건 이상 수행실적을 실적증명서로 제출이 가능한 업체"
PPS-DEV-09,v8,중복제한 (실적+지역),FP,0,1,,"마. 주된 영업소(본사 소재지를 말함)가 입찰공고일 현재 광주광역시, 전라남도의 관할구역 안에 있어야 합니다."
PPS-DEV-11,v8,중복제한 (실적+지역),FN,1,0,최근 3년 이내에 단일 계약금액 5천만원 이상의 컨퍼런스·포럼 등 행사 운영 용역을 수행한 실적을 보유한 업체,
PPS-DEV-041,v8,중복제한 (실적+지역),FP,0,1,,
PPS-DEV-049,v8,중복제한 (실적+지역),FP,0,1,,라. 체육교육학 전공이 있는 [기관(대학)]만 입찰 참여 가능합니다.
PPS-DEV-051,v8,중복제한 (실적+지역),FP,0,1,,③ 최근 5년 이내 이동형X선 투시장치(C-ARM) 장비 3억원 이상 대학병원에 납품한 실적이 있는 업체
PPS-DEV-052,v8,중복제한 (실적+지역),FP,0,1,,설치와 교육은 반드시 공급자의 납품 경험이 많은 숙달된 기술자에 의해 수행 필요
PPS-DEV-054,v8,중복제한 (실적+지역),FN,1,0,,
PPS-DEV-057,v8,중복제한 (실적+지역),FP,0,1,,라. 입찰공고일 기준 법인등기부등본(개인사업자는 사업등록증명원) 상 주된 사무소 소재지가 경기도로 기재되어 있는 업체
PPS-DEV-059,v8,중복제한 (실적+지역),FP,0,1,,
PPS-DEV-062,v8,중복제한 (실적+지역),FP,0,1,,"2) 공고일 전일 기준 최근 5년 이내 국가,정부투자기관에서 시행한 단일 건 3억 원(VAT포함) 이상의 축제, 공연 등 문화행사 수행실적이 있어야 합니다."
