id,feature,truth,prediction,outcome,gold_evidence,scanner_evidence
PPS-DEV-01,v2,0,0,TN,,
PPS-DEV-01,v3,0,0,TN,,
PPS-DEV-01,v4,0,0,TN,,
PPS-DEV-01,v5,0,0,TN,,
PPS-DEV-01,v6,0,0,TN,,
PPS-DEV-01,v7,0,0,TN,,
PPS-DEV-01,v8,0,0,TN,,
PPS-DEV-02,v2,1,1,TP,외국 학술지 공급계약을 3천만원 이상 체결한 실적이 있는 자,3. 입찰참가자격 ○ 국가를 당사자로 하는 계약에 관한 법률 시행령 제12조 및 동법 시행규칙 제14조 규정에 의한 입찰참가자격을 갖춘 자 ○ 국가를 당사자로 하는 계약에 관한 법률 제27조 및 동법 시행령 제 76조 (부정당업자의 입찰참가자격 제한) 에 해당되지 않은 업체 ○ 외국 학술지 공급계약을 3천만원 이상 체결한 실적이 있는 자 ○ 입찰참가자격등록 마감일시까지 잡지 (세부품명번호 10자리 : 5510 150601) 를 제조 또는 공급 물품으로 입찰참가 등록한 자 ○ 「중소기업기본법」 제2조에 따른 소기업자 또는 「소상공인 보호및 지원에 관한 법률」 제2조에 따른 소상공인으로서 「중소기업 범위 및 확인에 관한 규정」에 따라 발급된 소기업ㆍ소상공인확인서를 소지한 자 ○ 「중소기업제품 구매촉진 및 판로지원에 관한 법률」 제33조 제1항에 따라 중소기업으로 간주되는 특별법인으로 중소기업제품 「공공구매제도 운영요령」 제45조에 따라 ‘특별법인 중소기업 간주 확인서’를 소기업 또는 소상공인으로 발급받은 경우 입찰참가 자격 있음 ○ 공동수급 불허
PPS-DEV-02,v3,0,0,TN,,3. 입찰참가자격 ○ 국가를 당사자로 하는 계약에 관한 법률 시행령 제12조 및 동법 시행규칙 제14조 규정에 의한 입찰참가자격을 갖춘 자 ○ 국가를 당사자로 하는 계약에 관한 법률 제27조 및 동법 시행령 제 76조 (부정당업자의 입찰참가자격 제한) 에 해당되지 않은 업체 ○ 외국 학술지 공급계약을 3천만원 이상 체결한 실적이 있는 자 ○ 입찰참가자격등록 마감일시까지 잡지 (세부품명번호 10자리 : 5510 150601) 를 제조 또는 공급 물품으로 입찰참가 등록한 자 ○ 「중소기업기본법」 제2조에 따른 소기업자 또는 「소상공인 보호및 지원에 관한 법률」 제2조에 따른 소상공인으로서 「중소기업 범위 및 확인에 관한 규정」에 따라 발급된 소기업ㆍ소상공인확인서를 소지한 자 ○ 「중소기업제품 구매촉진 및 판로지원에 관한 법률」 제33조 제1항에 따라 중소기업으로 간주되는 특별법인으로 중소기업제품 「공공구매제도 운영요령」 제45조에 따라 ‘특별법인 중소기업 간주 확인서’를 소기업 또는 소상공인으로 발급받은 경우 입찰참가 자격 있음 ○ 공동수급 불허
PPS-DEV-02,v4,0,0,TN,,3. 입찰참가자격 ○ 국가를 당사자로 하는 계약에 관한 법률 시행령 제12조 및 동법 시행규칙 제14조 규정에 의한 입찰참가자격을 갖춘 자 ○ 국가를 당사자로 하는 계약에 관한 법률 제27조 및 동법 시행령 제 76조 (부정당업자의 입찰참가자격 제한) 에 해당되지 않은 업체 ○ 외국 학술지 공급계약을 3천만원 이상 체결한 실적이 있는 자 ○ 입찰참가자격등록 마감일시까지 잡지 (세부품명번호 10자리 : 5510 150601) 를 제조 또는 공급 물품으로 입찰참가 등록한 자 ○ 「중소기업기본법」 제2조에 따른 소기업자 또는 「소상공인 보호및 지원에 관한 법률」 제2조에 따른 소상공인으로서 「중소기업 범위 및 확인에 관한 규정」에 따라 발급된 소기업ㆍ소상공인확인서를 소지한 자 ○ 「중소기업제품 구매촉진 및 판로지원에 관한 법률」 제33조 제1항에 따라 중소기업으로 간주되는 특별법인으로 중소기업제품 「공공구매제도 운영요령」 제45조에 따라 ‘특별법인 중소기업 간주 확인서’를 소기업 또는 소상공인으로 발급받은 경우 입찰참가 자격 있음 ○ 공동수급 불허
PPS-DEV-02,v5,0,0,TN,,3. 입찰참가자격 ○ 국가를 당사자로 하는 계약에 관한 법률 시행령 제12조 및 동법 시행규칙 제14조 규정에 의한 입찰참가자격을 갖춘 자 ○ 국가를 당사자로 하는 계약에 관한 법률 제27조 및 동법 시행령 제 76조 (부정당업자의 입찰참가자격 제한) 에 해당되지 않은 업체 ○ 외국 학술지 공급계약을 3천만원 이상 체결한 실적이 있는 자 ○ 입찰참가자격등록 마감일시까지 잡지 (세부품명번호 10자리 : 5510 150601) 를 제조 또는 공급 물품으로 입찰참가 등록한 자 ○ 「중소기업기본법」 제2조에 따른 소기업자 또는 「소상공인 보호및 지원에 관한 법률」 제2조에 따른 소상공인으로서 「중소기업 범위 및 확인에 관한 규정」에 따라 발급된 소기업ㆍ소상공인확인서를 소지한 자 ○ 「중소기업제품 구매촉진 및 판로지원에 관한 법률」 제33조 제1항에 따라 중소기업으로 간주되는 특별법인으로 중소기업제품 「공공구매제도 운영요령」 제45조에 따라 ‘특별법인 중소기업 간주 확인서’를 소기업 또는 소상공인으로 발급받은 경우 입찰참가 자격 있음 ○ 공동수급 불허
