id,feature,truth,prediction
PPS-DEV-01,v4,0,0
PPS-DEV-01,v5,0,1
PPS-DEV-01,v6,0,1
PPS-DEV-01,v7,0,1
PPS-DEV-02,v4,0,1
PPS-DEV-02,v5,0,0
PPS-DEV-02,v6,0,0
PPS-DEV-02,v7,0,0
PPS-DEV-03,v4,0,1
PPS-DEV-03,v5,0,1
PPS-DEV-03,v6,0,1
PPS-DEV-03,v7,0,1
PPS-DEV-04,v4,0,1
PPS-DEV-04,v5,0,0
PPS-DEV-04,v6,0,0
PPS-DEV-04,v7,0,0
PPS-DEV-05,v4,0,1
PPS-DEV-05,v5,0,1
PPS-DEV-05,v6,0,1
PPS-DEV-05,v7,0,1
PPS-DEV-06,v4,1,1
PPS-DEV-06,v5,0,1
PPS-DEV-06,v6,0,1
PPS-DEV-06,v7,0,1
PPS-DEV-07,v4,0,1
PPS-DEV-07,v5,1,1
PPS-DEV-07,v6,0,1
PPS-DEV-07,v7,0,1
PPS-DEV-08,v4,0,1
PPS-DEV-08,v5,0,1
PPS-DEV-08,v6,1,1
PPS-DEV-08,v7,0,1
PPS-DEV-09,v4,0,0
PPS-DEV-09,v5,0,1
PPS-DEV-09,v6,0,0
PPS-DEV-09,v7,1,0
PPS-DEV-10,v4,0,1
PPS-DEV-10,v5,0,1
PPS-DEV-10,v6,0,1
PPS-DEV-10,v7,1,1
PPS-DEV-11,v4,0,1
PPS-DEV-11,v5,0,1
PPS-DEV-11,v6,0,1
PPS-DEV-11,v7,0,1
PPS-DEV-12,v4,0,0
PPS-DEV-12,v5,0,1
PPS-DEV-12,v6,0,0
PPS-DEV-12,v7,0,0
PPS-DEV-13,v4,0,1
PPS-DEV-13,v5,0,1
PPS-DEV-13,v6,0,1
PPS-DEV-13,v7,0,1
PPS-DEV-14,v4,0,1
PPS-DEV-14,v5,0,1
PPS-DEV-14,v6,0,0
PPS-DEV-14,v7,0,0
PPS-DEV-15,v4,0,1
PPS-DEV-15,v5,0,1
PPS-DEV-15,v6,0,1
PPS-DEV-15,v7,0,1
PPS-DEV-16,v4,0,1
PPS-DEV-16,v5,0,1
PPS-DEV-16,v6,0,1
PPS-DEV-16,v7,0,1
PPS-DEV-17,v4,0,1
PPS-DEV-17,v5,0,1
PPS-DEV-17,v6,0,1
PPS-DEV-17,v7,0,1
PPS-DEV-18,v4,0,0
PPS-DEV-18,v5,0,1
PPS-DEV-18,v6,0,1
PPS-DEV-18,v7,0,1
PPS-DEV-19,v4,0,0
PPS-DEV-19,v5,0,1
PPS-DEV-19,v6,0,1
PPS-DEV-19,v7,0,1
PPS-DEV-20,v4,0,0
PPS-DEV-20,v5,0,1
PPS-DEV-20,v6,0,0
