id,item,gold,original,candidate,change
PPS-DEV-01,v1,1,1,0,regressed
PPS-DEV-01,v11,0,1,0,fixed
PPS-DEV-04,v18,0,1,0,fixed
PPS-DEV-06,v11,0,0,1,regressed
PPS-DEV-06,v14,0,1,0,fixed
PPS-DEV-06,v18,0,1,0,fixed
PPS-DEV-07,v6,0,1,0,fixed
PPS-DEV-07,v18,0,1,0,fixed
PPS-DEV-08,v16,0,1,0,fixed
PPS-DEV-09,v5,0,0,1,regressed
PPS-DEV-09,v6,0,1,0,fixed
PPS-DEV-09,v9,1,1,0,regressed
PPS-DEV-09,v17,0,1,0,fixed
PPS-DEV-09,v18,0,1,0,fixed
PPS-DEV-10,v18,0,1,0,fixed
PPS-DEV-10,v24,0,0,1,regressed
PPS-DEV-11,v11,0,1,0,fixed
PPS-DEV-11,v18,0,1,0,fixed
PPS-DEV-12,v5,0,1,0,fixed
PPS-DEV-12,v9,1,1,0,regressed
PPS-DEV-12,v18,0,1,0,fixed
PPS-DEV-13,v11,0,1,0,fixed
PPS-DEV-13,v14,0,1,0,fixed
PPS-DEV-14,v10,0,1,0,fixed
PPS-DEV-15,v12,1,0,1,fixed
PPS-DEV-16,v10,0,0,1,regressed
PPS-DEV-16,v18,0,0,1,regressed
PPS-DEV-17,v18,0,1,0,fixed
PPS-DEV-17,v23,0,1,0,fixed
PPS-DEV-18,v18,0,0,1,regressed
PPS-DEV-22,v9,0,1,0,fixed
PPS-DEV-22,v17,0,1,0,fixed
PPS-DEV-22,v18,1,1,0,regressed
PPS-DEV-23,v6,0,1,0,fixed
PPS-DEV-23,v10,0,1,0,fixed
PPS-DEV-23,v17,0,1,0,fixed
PPS-DEV-23,v18,0,1,0,fixed
PPS-DEV-24,v10,0,0,1,regressed
PPS-DEV-25,v18,0,0,1,regressed
PPS-DEV-26,v22,1,1,0,regressed
PPS-DEV-28,v18,0,1,0,fixed
PPS-DEV-033,v18,0,0,1,regressed
PPS-DEV-034,v22,0,1,0,fixed
PPS-DEV-035,v1,1,1,0,regressed
PPS-DEV-035,v9,0,1,0,fixed
PPS-DEV-035,v14,0,1,0,fixed
PPS-DEV-036,v10,0,1,0,fixed
PPS-DEV-037,v9,0,1,0,fixed
PPS-DEV-038,v23,0,1,0,fixed
PPS-DEV-040,v17,0,1,0,fixed
PPS-DEV-040,v18,1,1,0,regressed
PPS-DEV-040,v23,0,1,0,fixed
PPS-DEV-041,v18,1,0,1,fixed
PPS-DEV-042,v4,1,1,0,regressed
PPS-DEV-042,v8,1,1,0,regressed
PPS-DEV-042,v23,0,1,0,fixed
PPS-DEV-043,v18,1,1,0,regressed
PPS-DEV-043,v23,0,1,0,fixed
PPS-DEV-044,v17,0,0,1,regressed
PPS-DEV-044,v18,1,0,1,fixed
PPS-DEV-044,v24,0,0,1,regressed
PPS-DEV-047,v5,1,1,0,regressed
PPS-DEV-048,v1,0,0,1,regressed
PPS-DEV-048,v6,0,1,0,fixed
PPS-DEV-048,v7,0,1,0,fixed
PPS-DEV-048,v8,1,1,0,regressed
PPS-DEV-048,v14,0,1,0,fixed
PPS-DEV-049,v1,1,1,0,regressed
PPS-DEV-049,v8,0,1,0,fixed
PPS-DEV-049,v11,0,1,0,fixed
PPS-DEV-049,v14,1,1,0,regressed
PPS-DEV-049,v17,0,1,0,fixed
PPS-DEV-049,v18,0,1,0,fixed
PPS-DEV-050,v5,0,1,0,fixed
PPS-DEV-050,v7,1,1,0,regressed
PPS-DEV-050,v8,0,1,0,fixed
PPS-DEV-050,v9,1,1,0,regressed
PPS-DEV-050,v17,0,1,0,fixed
PPS-DEV-050,v18,0,1,0,fixed
PPS-DEV-050,v24,0,1,0,fixed
PPS-DEV-051,v8,0,1,0,fixed
PPS-DEV-051,v17,0,1,0,fixed
PPS-DEV-052,v6,0,1,0,fixed
PPS-DEV-052,v14,1,1,0,regressed
PPS-DEV-052,v15,0,1,0,fixed
PPS-DEV-052,v16,0,1,0,fixed
PPS-DEV-052,v18,0,1,0,fixed
PPS-DEV-052,v23,0,1,0,fixed
PPS-DEV-053,v10,0,0,1,regressed
PPS-DEV-054,v4,0,0,1,regressed
PPS-DEV-057,v1,0,1,0,fixed
PPS-DEV-057,v6,0,1,0,fixed
PPS-DEV-057,v7,0,1,0,fixed
PPS-DEV-057,v8,0,1,0,fixed
PPS-DEV-057,v14,1,1,0,regressed
PPS-DEV-057,v18,0,1,0,fixed
PPS-DEV-058,v16,1,1,0,regressed
PPS-DEV-058,v17,0,1,0,fixed
PPS-DEV-058,v18,0,1,0,fixed
PPS-DEV-059,v1,0,1,0,fixed
PPS-DEV-059,v24,0,0,1,regressed
PPS-DEV-060,v14,0,1,0,fixed
PPS-DEV-060,v18,0,0,1,regressed
PPS-DEV-061,v6,1,0,1,fixed
PPS-DEV-061,v10,1,0,1,fixed
PPS-DEV-061,v11,1,0,1,fixed
PPS-DEV-061,v14,0,1,0,fixed
PPS-DEV-061,v17,0,1,0,fixed
PPS-DEV-062,v8,0,1,0,fixed
PPS-DEV-063,v10,0,0,1,regressed
PPS-DEV-064,v20,0,1,0,fixed
PPS-DEV-067,v5,0,1,0,fixed
PPS-DEV-067,v18,0,1,0,fixed
PPS-DEV-071,v5,0,0,1,regressed
PPS-DEV-071,v8,1,1,0,regressed
PPS-DEV-071,v15,0,1,0,fixed
PPS-DEV-071,v16,0,1,0,fixed
PPS-DEV-077,v5,0,0,1,regressed
PPS-DEV-077,v6,0,1,0,fixed
PPS-DEV-077,v23,0,1,0,fixed
PPS-DEV-079,v5,0,0,1,regressed
