id,item,name,error,gold,prediction,gold_evidence,predicted_evidence
PPS-DEV-01,v1,참가자격 특정기관 제한,FN,1,0,"라. 본 용역은 「고등교육법」 제2조에 따른 대학 또는 「산업교육진흥
및 산학연협력촉진에 관한 법률」 제25조에 따른 산학협력단만 참여 가능함",
PPS-DEV-046,v1,참가자격 특정기관 제한,FN,1,0,,
PPS-DEV-049,v1,참가자격 특정기관 제한,FN,1,0,,
PPS-DEV-058,v1,참가자격 특정기관 제한,FN,1,0,,
PPS-DEV-063,v1,참가자격 특정기관 제한,FN,1,0,,
PPS-DEV-072,v1,참가자격 특정기관 제한,FN,1,0,,
PPS-DEV-04,v2,고시금액 미만 실적제한,FP,0,1,,"공고일 기준 최근 5년 간 단일 건으로 455,000,000원 이상(기초금액의 130% 이상)의 해양탐사 또는 수중조사 또는 침몰선박 조사·확인작업 분야 각종 작업 1건 이상 수행실적을 실적증명서로 제출이 가능한 업체"
PPS-DEV-08,v2,고시금액 미만 실적제한,FP,0,1,,
PPS-DEV-038,v2,고시금액 미만 실적제한,FP,0,1,,최근 3년 이내 교복 납품실적증명서 원본 1부
PPS-DEV-053,v2,고시금액 미만 실적제한,FN,1,0,④ 입찰공고일 기준 최근 3년 이내에 단일건으로 1억 원 이상 [수요기관(공공기관)]에서 발주한 유사사업 및 동등이상 관련 사업 등을 실적이 있는 업체(하도급 제외) ※ 실적증명이 가능하고 공고일 현재 용역이 완료된 것,
PPS-DEV-059,v2,고시금액 미만 실적제한,FP,0,1,,"공고일 기준 최근 3년 이내 공공기관(국가,지자체,공기업 포함) 통근버스 운행 실적이 2억원 이상 있는 업체만 참가 자격이 있습니다."
PPS-DEV-063,v2,고시금액 미만 실적제한,FP,0,1,,
PPS-DEV-069,v2,고시금액 미만 실적제한,FN,1,0,○ | 최근 10년 이내 동종업종 실적 5천만원 이상 보유한 업체 |,
PPS-DEV-078,v2,고시금액 미만 실적제한,FN,1,0,"바. 최근 10년 이내 50,000,000원(VAT별도) 이상 디자인서비스 용역 수행 실적이 있는 자",
PPS-DEV-129,v2,고시금액 미만 실적제한,FP,0,1,,
PPS-DEV-06,v3,실적제한 1배수 이상,FP,0,1,,최근 5년간 국가기관이 발주한 국제회의 개최 대행 용역의 이행실적이 4억원 이상인 업체
PPS-DEV-25,v3,실적제한 1배수 이상,FP,0,1,,"최근 10년 이내 국가 · 지방자치단체 · 정부투자 기관, 지방공기업 · 지방자치단체출자․출연법인 등 공공기관 및 민간부분에서 발주한 4차 산업 분야(코딩, AI 등)의 체험 · 행사 · 교육 사업 등 본 사업과 유사한 사업의 단일 계약 건으로 3억원(부가세 포함) 이상의 사업을 수행(완료)한 업체"
PPS-DEV-049,v3,실적제한 1배수 이상,FP,0,1,,
