id,item,gold,groups12,groups21,corrected
PPS-DEV-01,v6,0,0,1,False
PPS-DEV-01,v11,0,0,1,False
PPS-DEV-01,v12,0,0,1,False
PPS-DEV-01,v16,0,0,1,False
PPS-DEV-01,v23,0,0,1,False
PPS-DEV-02,v11,0,0,1,False
PPS-DEV-03,v6,0,0,1,False
PPS-DEV-03,v8,0,1,0,True
PPS-DEV-03,v11,0,0,1,False
PPS-DEV-04,v23,0,1,0,True
PPS-DEV-05,v6,0,0,1,False
PPS-DEV-05,v8,1,1,0,False
PPS-DEV-05,v11,0,0,1,False
PPS-DEV-05,v16,0,0,1,False
PPS-DEV-05,v23,0,0,1,False
PPS-DEV-06,v4,1,0,1,True
PPS-DEV-06,v11,0,0,1,False
PPS-DEV-07,v5,1,1,0,False
PPS-DEV-07,v7,0,0,1,False
PPS-DEV-07,v11,0,0,1,False
PPS-DEV-07,v18,0,1,0,True
PPS-DEV-08,v4,0,0,1,False
PPS-DEV-08,v11,0,0,1,False
PPS-DEV-08,v14,0,1,0,True
PPS-DEV-09,v6,0,0,1,False
PPS-DEV-09,v7,1,0,1,True
PPS-DEV-09,v8,0,1,0,True
PPS-DEV-09,v10,0,0,1,False
PPS-DEV-09,v11,0,0,1,False
PPS-DEV-09,v12,0,0,1,False
PPS-DEV-09,v13,0,0,1,False
PPS-DEV-09,v16,0,0,1,False
PPS-DEV-09,v17,0,1,0,True
PPS-DEV-09,v23,0,1,0,True
PPS-DEV-10,v4,0,0,1,False
PPS-DEV-10,v11,0,0,1,False
PPS-DEV-10,v16,0,0,1,False
PPS-DEV-10,v24,0,1,0,True
PPS-DEV-11,v11,0,0,1,False
PPS-DEV-11,v12,0,0,1,False
PPS-DEV-11,v14,0,0,1,False
PPS-DEV-11,v16,0,0,1,False
PPS-DEV-11,v23,0,1,0,True
PPS-DEV-12,v11,0,0,1,False
PPS-DEV-12,v16,0,0,1,False
PPS-DEV-13,v10,1,0,1,True
PPS-DEV-13,v11,0,0,1,False
PPS-DEV-14,v11,1,0,1,True
PPS-DEV-14,v16,0,0,1,False
PPS-DEV-15,v4,0,0,1,False
PPS-DEV-15,v10,0,0,1,False
PPS-DEV-15,v11,0,0,1,False
