id,item,item_name,transition,gold,original,candidate,estimated_price,amount_outside_item_band,source_jsonl_line,original_raw_evidence,candidate_raw_evidence,review_category,review_note,verified_source_excerpts
PPS-DEV-01,v1,참가자격 특정기관 제한,new_fn,1,1,0,281818182,False,1,본 용역은 「고등교육법」 제2조에 따른 대학 또는 「산업교육진흥 및 산학협력촉진에 관한 법률」 제25조에 따른 산학협력단만 참여 가능함,,명시적 자격 제한 누락,참가자격에서 대학 또는 산학협력단만 허용한다. 단순 면허나 평가 가점이 아니다. 기존 근거는 원문과 표현·줄바꿈이 달라 폐기됐지만 해당 제한 자체는 실제로 존재한다.,"[{""doc_id"": ""D0"", ""line_start"": 70, ""line_end"": 74, ""text"": ""라. 본 용역은 「고등교육법」 제2조에 따른 대학 또는 「산업교육진흥\n및 산학연협력촉진에 관한 법률」 제25조에 따른 산학협력단만 참여 가능함\n마. 중소기업기본법 제2조에 따른 중·소기업 또는 『소상공인 보호 및 지원에 관\n한 법률』 제2조에 따른 소상공인으로서‘중·소기업, 소상공인 확인서’를\n소지한 자""}]"
PPS-DEV-09,v9,과업지시서 특정 모델명 명시,new_fn,1,1,0,112064000,False,9,"Processor: 20-core Arm (10 Cortex-X925 + 10 Cortex-A725) / Chipset: GB10 Grace Blackwell Superchip / GPU/Graphics: Blackwell Architecture / Memory: 128GB LPDDR5X (Unified system memory) / Network / NIC: ConnectX®-7 SmartNIC / Operating System: DGX™ OS, Ubuntu Linux / Chassis Volume: 1L / Weight: 1.2kg (2.64 lbs) / Dimensions: H50.5 × W150 × D150 mm / Included in the Box: ATOM 본체, Adapter, Power Cord",,기준·정답 재검토,GB10 특정 칩셋을 적었지만 공고와 규격서에 동등 이상 허용도 있다. 개별 기준은 실질적으로 허용된 동등품을 자동 위반으로 보지 않는다. 동등품이 실질적으로 가능한지 확인하기 전에는 기존 1이 올바른 이해였다고 단정하기 어렵다.,"[{""doc_id"": ""D1"", ""line_start"": 19, ""line_end"": 19, ""text"": ""Chipset: GB10 Grace Blackwell Superchip""}, {""doc_id"": ""D1"", ""line_start"": 153, ""line_end"": 153, ""text"": ""제품의 무상 유지보수 기간은 2년 이며, 상기 사항과 동등 또는 그 이상의 조건을 충족하는 제품으로 납품 가능함""}, {""doc_id"": ""D0"", ""line_start"": 139, ""line_end"": 139, ""text"": ""- 규격서(동등규격 이상)""}]"
PPS-DEV-12,v9,과업지시서 특정 모델명 명시,new_fn,1,1,0,28532727,False,12,피스톨관창(40mm) - 제조사·모델명 : 아크론브라스(Akron Brass) 터보젯(TurboJet),,명시적 제품 지정 누락,제조사 Akron Brass와 모델 TurboJet을 명시한다. 동등품 허용 문구는 제공 문서 대조에서 확인되지 않았다. 특정 지정의 안전·성능 예외가 실제로 성립하는지는 별도 쟁점이다.,"[{""doc_id"": ""D1"", ""line_start"": 80, ""line_end"": 80, ""text"": ""- 제조사·모델명 : 아크론브라스(Akron Brass) 터보젯(TurboJet)""}, {""doc_id"": ""D1"", ""line_start"": 32, ""line_end"": 32, ""text"": ""하여 반드시 동일 회사 제품으로 세트 구성하여 납품할 것.""}]"
PPS-DEV-15,v12,일반제품 직생 제한,resolved_fn,1,0,1,33409091,False,15,,"마. 본 입찰 대상 물품(과일류, 세부품명번호 5030990101)에 대한 직접생산확인증명서를 보유한 자이어야 합니다.",해소: 명시적 확인서 요구,과일류 5030990101에 직접생산확인증명서를 의무화한 원문을 새로 잡았다. 기존에는 0. 요구 문구 인식의 회복은 분명하지만 비지정 제품이라는 전제는 본 분석에서 독립 검증하지 않았다.,"[{""doc_id"": ""D0"", ""line_start"": 39, ""line_end"": 39, ""text"": ""마. 본 입찰 대상 물품(과일류, 세부품명번호 5030990101)에 대한 직접생산확인증명서를 보유한 자이어야 합니다.""}]"
PPS-DEV-22,v18,1억원 미만 일반물품 소기업 제한 없음,new_fn,1,1,0,72727273,False,22,,,문서 부재·메타 충돌,추정가격 약 0.727억원. 메타에는 소기업·소상공인 제한이라고 쓰였지만 제공 문서 전체에서 이에 해당하는 참가자격·확인서 요구를 찾지 못했다. 메타가 원문의 부재를 메웠을 가능성은 가설이다. 같은 메타/원문 관계의 041에서는 반대로 미탐을 해소했다.,"[{""doc_id"": ""D0"", ""line_start"": 41, ""line_end"": 61, ""text"": ""3. 입찰 참가 자격\n\n「지방자치단체를 당사자로 하는 계약에 관한 법률 시행령」 제13조 및 같은 법 시행규칙 제14조에 따른 자격을 갖추고, 다음 각 호의 모든 요건을 갖춘 업체이어야 합니다.\n\n가. 조달청 국가종합전자조달시스템(G2B) 전자입찰 이용 등록자 및 성인용저귀(세부\n\n품명번호 10자리: 5310230601) 물품을 등록한 업체\n\n나. 입찰공고일 전일[신규사업자(법인인 경우 법인등기일, 개인사업자인 경우 사업자등록일 기준)인 경우 입찰공고일 이후를 포함한다]부터 입찰일까지 그 주된 영업소의 소재지가 인천광역시 내에 있어야 하며 입찰일(낙찰자는 계약체결일)까지 당해 자격을 유지한 업체이어야 합니다.\n\n다. 미자격자가 고의로 입찰에 참가하거나 입찰에 관한 서류를 부정하게 행사한 자\n\n또는 고의로 무효의 입찰을 한 자에 해당된다고 판단될 경우에는 「지방자치 단체를 당사자로 하는 계약에 관한 법률 시행령」 제92조에 따라 부정당업자로 제재할 수 있습니다.\n\n라. ｢지방자치단체를 당사자로 하는 계약에 관한 법률 시행령｣ 제92조의 규정에\n\n의하여 입찰 참가자격을 제한 받지않는 업체이어야 합니다.\n\n마. ｢지방계약법｣ 제31조의5 및 ｢지방계약법 시행령｣ 제93조에 따라‘조세포탈 등을 한 자’로서\n\n유죄판결이 확정된 날부터 2년이 지나지 아니한 자는 입찰에 참여할 수 없습니다.""}]"
PPS-DEV-26,v22,현장설명회 참석업체 (자격으로 제한 여부) * 계약방법 협상만 적용,new_fn,1,1,0,18181818,False,26,발주기관이 개최하는 사업설명회에 참석한 자(설명회 일정은 추후 안내),,명시적 자격 제한 누락,입찰 참가자격에 사업설명회에 참석한 자를 명시하며 제안요청서에도 반복된다. “불참 업체 제외”를 찾은 138과 대조하면 같은 의무를 다른 표현으로 쓴 경우의 일관성이 부족하다.,"[{""doc_id"": ""D0"", ""line_start"": 40, ""line_end"": 40, ""text"": ""○ 발주기관이 개최하는 사업설명회에 참석한 자(설명회 일정은 추후 안내)""}, {""doc_id"": ""D1"", ""line_start"": 39, ""line_end"": 39, ""text"": ""◦ 발주기관이 개최하는 사업설명회에 참석한 자(설명회 일정은 추후 안내)""}]"
PPS-DEV-035,v1,참가자격 특정기관 제한,new_fn,1,1,0,60000000,False,35,다. 본 입찰은 4년제 대학교만 참여 가능,,명시적 자격 제한 누락,“4년제 대학교만 참여 가능”이라는 직접적인 기관 유형 제한을 0으로 바꿨다. 짧은 공고에도 발생하므로 긴 문서만의 문제로 설명할 수 없다.,"[{""doc_id"": ""D0"", ""line_start"": 25, ""line_end"": 32, ""text"": ""2. 입찰참가자격\n가. 「국가를 당사자로 하는 계약에 관한 법률 시행령(2026.1.2.)」 제12조 및 동법 시행규칙(2026.1.2.) 제14조에 따른 자격요건을 갖춘 사업자\n- 사업자 등록증 상에 서적(도서) 도·소매, 무역(도서) 등이 명시되어 있는 업체로서, 국가종합전자조달시스템 입찰참가자격등록규정에 의하여 반드시 입찰 공고에서 정한 기한 내에 G2B 물품분류번호 5510151001(서적)을 등록한 사업자\n나. 「중소기업기본법」 제2조제2항에 따른 중소기업 또는 「소상공인 보호 및 지원에 관한 법률」 제2조에 따른 소상공인으로서 중소기업 또는 소상공인확인서(전자입찰서 제출 마감일 전일까지 발급된 것으로 유효기간 내에 있어야 함)를 소지한 업체\n※ 위의 조건을 모두 갖춘 사업자의 경우에만 입찰에 참여할 수 있음\n다. 본 입찰은 4년제 대학교만 참여 가능\n라. 「국가를 당사자로 하는 계약에 관한 법률(2026.1.2.)」 제27조 및 동법 시행령 (2026.1.2.) 제76조에 의한 부정당업자로서 입찰참가자격의 제한을 받지 않은 업체이어야 합니다.\n마. 납품(공급)업체의 경우 전자입찰서 제출 마감일 전일까지 제조사로부터 당해 물품공급 및 무상지원(A/S) 확약서를 발급후 보유 및 제출하여야 합니다.""}]"
PPS-DEV-040,v18,1억원 미만 일반물품 소기업 제한 없음,new_fn,1,1,0,80727273,False,40,,,문서 부재·메타 충돌,추정가격 약 0.807억원. 메타의 소기업·소상공인 제한에 대응하는 원문 자격 요건이 없다. 원문 자격은 지역·여행업·보험 위주다. 비영리업체의 부가세 처리 안내만으로 우선조달 예외를 확정할 수 없다.,"[{""doc_id"": ""D0"", ""line_start"": 85, ""line_end"": 105, ""text"": ""4. 입찰참가자격\n\n가.「지방자치단체를 당사자로 하는 계약에 관한 법률」 시행령 제13조\n\n및 같은 법 시행규칙 제14조 규정에 의한 자격을 갖춘 업체로서 다음 각 호의 자격을 모두 갖추어야 합니다.\n\n나. 법인등기부상 본점 소재지(개인사업자인 경우에는 사업자등록증 또는 관련 법령에 따른 허가·인가·면허·등록·신고 등에 관련된 서류에 기재된 사업장의 소재지)가 대구광역시 내에 위치한 업체\n\n다. 「관광진흥법」제4조에 의한 종합여행업 또는 국내외여행업으로 등록한 업체\n\n라. 공고일 기준, 여행사 보증보험 가입이 되어 있는 업체\n\n마. 법인등기부상 본점 소재지(개인사업자인 경우에는 사업자등록증 또는 관련 법령에 따른 허가·인가·면허·등록·신고 등에 관련된 서류에 기재된 사업장의 소재지) 기준일은 입찰공고일 전일【신규업자(법인인경우 법인 등기일, 개인사업자인 경우 사업자 등록일 기준으로 한다)인경우 입찰공고일 이후를 포함한다】로 하며, 입찰일(낙찰자는 계약체결일)까지 당해 자격을 계속 유지하여야 합니다.\n\n바. 「지방자치단체를 당사자로 하는 계약에 관한 법률 시행규칙」제76조에 의거 입찰공고일 현재 휴업상태 또는 부정당한 업체로 지정되었거나 영업정지, 인․허가 등록취소 등 행정처분 및 폐업신고 수리를 받지 않은 업체\n\n사. 미자격자가 고의로 입찰에 참가하여 「지방자치단체를 당사자로 하는 계약에 관한 법률시행령」 제92조 제1항의 제8호 또는 제9호에 의거 입찰에 관한 서류를 부당하게 행사한 자 또는 고의로 무효의 입찰을 한\n\n자에 해당한다고 판단될 경우에는 관계규정에 따라 부정당업자로 제재 할 수 있으니 유의하시기 바람.\n\n※ 반드시 투찰 전 공고문 및 제안요청서의 세부내역을 확인한 후 입찰서 제출""}]"
PPS-DEV-041,v18,1억원 미만 일반물품 소기업 제한 없음,resolved_fn,1,0,1,77272727,False,41,,,해소: 문서상 규모 요건 부재,1억원 미만이고 원문 참가자격은 디자인·실내건축 면허와 부산 소재 등이다. 제공 문서 전체에서 소기업·소상공인 요건을 찾지 못했다. 메타는 소기업 제한을 표기하므로 신규 미탐 22·040과 동일한 자료 우선순위 쟁점을 보인다.,"[{""doc_id"": ""D0"", ""line_start"": 25, ""line_end"": 43, ""text"": ""3. 입찰 참가 자격\n\n❍ 본 제안 사업의 수행이 가능한 업체로서 아래 요건을 모두 갖춘 사업자\n\n가. 지방자치단체를 당사자로 하는 계약에 관한 법률 시행령 제13조 및 같은 법 시행 규칙 제14조의 자격을 구비한 업체로 아래 복수의 자격 요건을 모두 갖추어야 함\n\n1) 산업디자인 전문회사로 시각 및 환경디자인 또는 종합디자인 분야로 신고되어 있는 업체\n\n2) 실내건축공사업 면허를 보유하고 있는 업체\n\n나. 입찰 공고일 전일부터 입찰일(낙찰자는 계약일)까지 주된 영업소가 부산광역시에 있는 업체\n\n다. 대·내외적인 공신력을 갖고 있으며, 충분한 장비, 인력, 기술을 보유하고 있어 기획, 디자인, 제작, 시공 , 관리 등 종합적인 업무가 가능한 업체\n\n라. 공고일 기준으로 등록취소, 부도, 휴업, 폐업, 부정당업체 지정 및 자격정지 등 관련 규정에 위반 조치된 업체는 참가할 수 없으며, 자격심사 후라도 상기 사유 발생 시는 참가자격 및 권리 일체를 박탈함.\n\n마. 조달청 입찰참가자격 미등록업체는 국가종합전자조달시스템 전자입찰 특별유의서에 의거 전자입찰서 제출마감일 전일까지 국가종합전자조달 시스템 입찰 참가자격 등록규정에 따라 조달청에 입찰참가자격 등록하여야 함(문의: 조달청 전자조달콜센터 1588-0800)\n\n※ 본 용역은 컨소시엄(공동수급체) 구성을 불허하며, 입찰 참가 수수료 없음. 또한 미자격자가 고의로 입찰에 참가하여 지방자치단체를 당사자로 하는 계약에 관한 법률 시행령 제92조에 해당 된다고 판단될 경우에는 관계 규정에 따라 부정당업자로 제재할 수 있음""}]"
PPS-DEV-042,v4,"고시금액 이상 특정기관, 특정실적",new_fn,1,1,0,61264545,False,42,최근 3년 이내 중고등학교 학생 대상 숙박이 들어간 국내 여행 1억원 이상의 실적이 있는 업체이어야 합니다.,,기준·정답 재검토,"추정가격 61,264,545원으로 동결된 v4의 적용 하한 230,000,000원보다 낮다. 특정 학교 여행 실적은 존재하지만, 현 개별 프롬프트와 정답 1이 함께 만족되지 않는 사례다. 공통 프롬프트의 단순 탐지 실패로 분류해 금액 조건을 약화하면 안 된다.","[{""doc_id"": ""D0"", ""line_start"": 221, ""line_end"": 223, ""text"": ""가. 「지방자치단체를 당사자로 하는 계약에 관한 법률 시행령」제13조 및 같은 법 시행규칙 제14조의 규정에 의한 자격을 갖춘 자로서 「관광 진흥법」 제4조 및 동법 시행령 제2조에 의한 종합여행업 또는 국내외여행업 또는 국내여행업 등록을 필한 업체로서, 부정당업자로 입찰참가자격 제한 중에 있지 아니하고, 입찰공고일 전일로부터 계약체결일까지 그 주된 영업소가 충청남도에 소재하고 있는 업체이어야 합니다.\n\n나. 최근 3년 이내 중고등학교 학생 대상 숙박이 들어간 국내 여행 1억원 이상의 실적이 있는 업체이어야 합니다.""}]"
