id,item,gold,prediction,gold_evidence,predicted_evidence
PPS-DEV-01,v1,1,0,"라. 본 용역은 「고등교육법」 제2조에 따른 대학 또는 「산업교육진흥
및 산학연협력촉진에 관한 법률」 제25조에 따른 산학협력단만 참여 가능함",
PPS-DEV-01,v16,0,1,,
PPS-DEV-01,v18,0,1,,
PPS-DEV-02,v2,1,0,외국 학술지 공급계약을 3천만원 이상 체결한 실적이 있는 자,
PPS-DEV-02,v3,0,1,,외국 학술지 공급계약을 3천만원 이상 체결한 실적이 있는 자
PPS-DEV-03,v2,1,0,나. 공고일 기준 5년 이내 공공디자인 용역 실적이 3천만원 이상인 업체,
PPS-DEV-03,v13,0,1,,「중소기업기본법」 제2조 제2항에 따른 소기업 또는 「소상공인기본법」 제2조에 따른 소상공인으로서 「중소기업 범위 및 확인에 관한 규정」 등에 따라 발급된 관련 확인서를 소지한 업체
PPS-DEV-03,v15,0,1,,「중소기업기본법」 제2조 제2항에 따른 소기업 또는 「소상공인기본법」 제2조에 따른 소상공인으로서 「중소기업 범위 및 확인에 관한 규정」 등에 따라 발급된 관련 확인서를 소지한 업체
PPS-DEV-04,v4,0,1,,
PPS-DEV-05,v8,1,0,입찰공고일 전일 현재 제주특별자치도에 법인등기부상 본점 소재지(개인사업자인 경우에는 사업자등록증 또는 관련 법령에 따른 허가·인가·면허·등록·신고 등에 관련된 서류에 기재된 사업장의 소재지)를 두고 당해자격을 입찰일(낙찰자는 계약체결일)까지 유지하고 있는 업체로서 다음 각호의 자격을 모두 충족하여야 합니다.,
PPS-DEV-06,v3,0,1,,최근 5년간 국가기관이 발주한 국제회의 개최 대행 용역의 이행실적이 4억원 이상인 업체
PPS-DEV-06,v4,1,0,다. 최근 5년간 국가기관이 발주한 국제회의 개최 대행 용역의 이행실적이 4억원 이상인 업체,
PPS-DEV-06,v12,0,1,,※ 직접생산확인증명서는 입찰서 제출마감일 전일까지 발급된 것으로서 유효기간 내에 있어야 함
PPS-DEV-08,v6,1,0,라. 입찰공고일 전일부터 계약체결일까지 주된 영업소가 서울특별시 [지역:r1|단위=기초|광역=서울특별시] 내에 소재하고 있는 업체이어야 합니다.,
PPS-DEV-08,v13,0,1,,나. 「중소기업제품 구매촉진 및 판로지원에 관한 법률 시행령」제2조2에 의한 소기업·소상공인
PPS-DEV-09,v7,1,0,"마. 주된 영업소(본사 소재지를 말함)가 입찰공고일 현재 광주광역시, 전라남도의 관할구역 안에 있어야 합니다.",
PPS-DEV-09,v13,0,1,,「중소기업기본법」제2조에 따른 중기업 또는 소기업이거나 「소상공인 보호 및 지원에 관한 법률」제2조에 따른 소상
PPS-DEV-10,v7,1,0,③ 입찰공고일 전일부터 입찰일(낙찰자는 계약체결일)까지 법인등기부상 본점 소재지(개인사업자인 경우에는 사업자등록증 또는 관련 법령에 따른 허가·인가·면허·등록·신고 등에 관련된 서류에 기재된 사업장의 소재지)를 계속하여 전북특별자치도 또는 충청남도 또는 충청북도에 둔 업체여야 합니다.,
PPS-DEV-11,v3,0,1,,최근 3년 이내에 단일 계약금액 5천만원 이상의 컨퍼런스·포럼 등 행사 운영 용역을 수행한 실적을 보유한 업체
PPS-DEV-11,v8,1,0,최근 3년 이내에 단일 계약금액 5천만원 이상의 컨퍼런스·포럼 등 행사 운영 용역을 수행한 실적을 보유한 업체,
PPS-DEV-11,v21,0,1,,구성원별 계약 참여 최소 지분비율 5% 이상
PPS-DEV-12,v13,0,1,,
PPS-DEV-13,v10,1,0,,
PPS-DEV-13,v21,0,1,,"공동수급체 구성원은 2개 업체 이내로 제한하고, 구성원별 최소지분율은 5% 이상이어야 함(참여지분율이 높은 업체를 대표[담당자] 선정)"
PPS-DEV-14,v11,1,0,,
PPS-DEV-14,v12,0,1,,「중소기업제품 구매촉진 및 판로지원에 관한 법률」제9조 및 같은 법 시행령 10조에 의한 직접생산확인증명서 [세부품명：통학운송서비스/세부품명번호：7811189902]를 소지한 업체이어야 합니다.
PPS-DEV-15,v10,0,1,,
PPS-DEV-15,v11,0,1,,
PPS-DEV-15,v12,1,0,"마. 본 입찰 대상 물품(과일류, 세부품명번호 5030990101)에 대한 직접생산확인증명서를 보유한 자이어야 합니다.",
PPS-DEV-15,v13,0,1,,
PPS-DEV-16,v11,0,1,,
PPS-DEV-16,v13,1,0,"『중소기업제품 구매촉진 및 판로지원에 관한 법률』 제2조에 따른 소기업자로서 중소기업 범위 및 확인에 관한 규정에 따라 발급된 소기업, 소상공인확인서를 소지한 업체이어야 합니다(『소기업·소상공인 확인서』는 중소기업공공구매 종합정보망에서 확인하며, 확인이 되지 않을 경우 입찰 참가 자격이 없습니다.)",
PPS-DEV-17,v3,0,1,,최근 10년 이내 전화상담 위탁업무를 단독으로 3천만원 이상 수행한 실적(준공실적 기준)이 있는 업체이어야 합니다.
PPS-DEV-17,v14,1,0,다. 「중소기업기본법」제2조에 따른 중소기업자 또는 「소상공인 보호 및 지원에 관한 법률」제2조에 따른 소상공인으로서 중소기업확인서를 소지한 업체이어야 합니다.,
PPS-DEV-17,v21,0,1,,사업의 특수성 등을 감안하여 공동도급이나 하도급은 불허합니다.
PPS-DEV-18,v13,0,1,,라. 「중소기업제품 구매촉진 및 판로지원에 관한 법률 시행령」제2조의2 제1항 규정에 따른 소기업으로서 ‘중·소기업·소상공인 및 장애인 기업 확인 요령’에 따라 발급된 소기업 또는 소상공인 확인서를 소지한 자
PPS-DEV-19,v13,0,1,,
PPS-DEV-19,v15,1,0,‘소기업·소상공인확인서’는 중소기업제품 공공구매 종합정보망(http://www.smpp.go.kr)에서 확인(전자입찰서 제출 마감일 전일까지 발급된 것으로 유효기간 내에 있는 것이 있어야하며 계약체결일까지 유지하여야 함)이 안 될 경우 입찰참가자격이 없습니다.,
PPS-DEV-20,v5,0,1,,다. 입찰자는 '입찰공고일 전일'부터 입찰일(낙찰자는 계약체결일)까지 법인등기부상 본점 소재지(개인사업자인 경우에는 사업자등록증 또는 관련 법령에 따른 허가·인가·면허·등록·신고 등에 관련된 서류에 기재된 사업자의 소재지)가 서울특별시에 계속 소재한 업체
PPS-DEV-20,v16,1,0,,
PPS-DEV-21,v17,1,0,다. 「중소기업기본법」제2조에 따른 중소기업 또는 「소상공인 보호 및 지원에 관한 법률」제2조에,
PPS-DEV-22,v18,1,0,,
PPS-DEV-23,v9,1,0,DJI Matrice 4E/T 시리즈 인텔리전트 플라이트 배터리일 것,
PPS-DEV-23,v10,0,1,,
PPS-DEV-23,v11,0,1,,
PPS-DEV-24,v10,0,1,,
PPS-DEV-24,v11,0,1,,
PPS-DEV-24,v20,1,0,,
PPS-DEV-25,v3,0,1,,"최근 10년 이내 국가 · 지방자치단체 · 정부투자 기관, 지방공기업 · 지방자치단체출자․출연법인 등 공공기관 및 민간부분에서 발주한 4차 산업 분야(코딩, AI 등)의 체험 · 행사 · 교육 사업 등 본 사업과 유사한 사업의 단일 계약 건으로 3억원(부가세 포함) 이상의 사업을 수행(완료)한 업체"
PPS-DEV-27,v23,1,0,"마. 사업설명회 : 2026. 2. 3.(화) 14:00, [시설명] 자연교육센터 2층",
PPS-DEV-28,v3,0,1,,"※ 공고일 기준 최근 3년 간 단일 건으로 11,000만원 이상의 완료 실적만 인정"
PPS-DEV-28,v23,1,0,"공고기간

2026.02.19. ~ 03.11. 15:00 (※사전공고 : 02.11. ~ 02.18.)

제안요청 설명회

일시 : 2026.03.03.(화요일) 15:00

장소 : 경기도 [지역:r1|단위=기초|광역=경기도] [지역:r2|단위=기초|광역=경기도] [상세주소], [상세주소](별똥별)

※ 제안요청설명회 참석여부와 상관없이 응찰 가능

접수마감

2026.03.11. 15:00 까지 (직찰 / 방문접수)",
PPS-DEV-29,v24,1,0,"나. 용역금액: 금37,930,000원(추정가격 34,481,818원, 부가가치세 3,448,182원)",
PPS-DEV-32,v5,0,1,,
PPS-DEV-033,v17,1,0,,
PPS-DEV-033,v19,1,0,,
PPS-DEV-034,v13,0,1,,「중소기업제품의 구매촉진 및 판로지원에 관한 법률 시행령」제2조의 2에 따라 소기업 또는 소상공인 확인서를 소지한 업체이어야 합니다.
PPS-DEV-034,v15,0,1,,「중소기업제품의 구매촉진 및 판로지원에 관한 법률 시행령」제2조의 2에 따라 소기업 또는 소상공인 확인서를 소지한 업체이어야 합니다.
PPS-DEV-035,v17,1,0,,
PPS-DEV-036,v13,0,1,,
PPS-DEV-037,v16,1,0,,
PPS-DEV-038,v18,1,0,,
PPS-DEV-039,v5,0,1,,
PPS-DEV-039,v7,1,0,⑤ 입찰공고일 전날부터 입찰일까지(낙찰자는 계약체결일까지) 주된 영업소의 소재지[법원등기부 상 본점소재지(개인사업자인 경우 사업자등록증 또는 관련 법령에 따른 허가·인가·면허·등록·신고 등에 관련서류에 기재된 사업장의 소재지)]가 경기도 또는 서울특별시인 업체,
PPS-DEV-039,v18,1,0,,
PPS-DEV-040,v18,1,0,,
PPS-DEV-041,v16,0,1,,
PPS-DEV-041,v21,0,1,,"※ 본 용역은 컨소시엄(공동수급체) 구성을 불허하며, 입찰 참가 수수료 없음."
PPS-DEV-042,v4,1,0,,
PPS-DEV-042,v8,1,0,,
PPS-DEV-042,v13,0,1,,"중·소기업, 소상공인확인서 중 하나를 소지한 업체이어야 합니다."
PPS-DEV-042,v17,1,0,,
PPS-DEV-042,v21,0,1,,공동이행 가능하며 최소 지분율은 10%이어야 합니다.
PPS-DEV-043,v5,0,1,,입찰공고일 전일로부터 계약체결일까지 그 주된 영업소가 충청남도에 소재하고 있는 업체이어야 합니다.
PPS-DEV-043,v13,0,1,,"중·소기업, 소상공인확인서 중 1부(제출마감일 전일까지 발급된 것으로 유효"
PPS-DEV-043,v18,1,0,,
PPS-DEV-044,v18,1,0,,
PPS-DEV-045,v13,0,1,,「중소기업기본법」 제2조에 따른 중소기업 또는 「소상공인 보호 및 지원에 관한 법률」 제2조에 따른 소상공인으로서 「중소기업 범위 및 확인에 관한 규정(중소벤처기업부 고시)」 에 따라 발급된 ‘중소기업·소상공인 확인서’를 소지한 자
PPS-DEV-045,v14,1,0,,
PPS-DEV-046,v1,1,0,,
PPS-DEV-046,v5,1,0,,
PPS-DEV-047,v5,1,0,,
PPS-DEV-047,v13,0,1,,「중소기업제품 구매촉진 및 판로지원에 관한 법률 시행령」 제2조의2 및 「중소기업기본법」 제2조제2항에 따른 중·소기업 또는 「소상공인기본법」 제2조에 따른 소상공인 간 제한경쟁입찰에 따라 조달계약을 체결하여야 한다.
PPS-DEV-047,v14,1,0,,
PPS-DEV-048,v5,1,0,,
PPS-DEV-048,v8,1,0,,
PPS-DEV-048,v10,0,1,,
PPS-DEV-048,v11,0,1,,
PPS-DEV-049,v1,1,0,,
PPS-DEV-049,v5,1,0,,
PPS-DEV-049,v10,0,1,,
PPS-DEV-049,v11,0,1,,
PPS-DEV-049,v14,1,0,,
PPS-DEV-049,v21,1,0,,
PPS-DEV-049,v24,1,0,,
PPS-DEV-050,v5,0,1,,공고일 전 일부터 입찰일까지(낙찰자는 계약체결일까지) 전라남도 또는 경상남도에 주된 영업소를 둔 업체
PPS-DEV-050,v7,1,0,❍ 공고일 전 일부터 입찰일까지(낙찰자는 계약체결일까지) 전라남도 또는 경상남도에 주된 영업소를 둔 업체,
PPS-DEV-050,v19,0,1,,제조업체가 아닐 경우 제조업체로부터 받은 [납품 및 사후 A/S확약서(보증서)]
PPS-DEV-050,v24,0,1,,전라남도 또는 경상남도에 주된 영업소를 둔 업체
PPS-DEV-051,v4,1,0,③ 최근 5년 이내 이동형X선 투시장치(C-ARM) 장비 3억원 이상 대학병원에 납품한 실적이 있는 업체,
PPS-DEV-051,v9,1,0,,
PPS-DEV-051,v14,1,0,,
PPS-DEV-051,v19,0,1,,➅ 물품 공급 및 기술지원 확약서[첨부3] _ 1부
PPS-DEV-052,v14,1,0,,
PPS-DEV-053,v2,1,0,④ 입찰공고일 기준 최근 3년 이내에 단일건으로 1억 원 이상 [수요기관(공공기관)]에서 발주한 유사사업 및 동등이상 관련 사업 등을 실적이 있는 업체(하도급 제외) ※ 실적증명이 가능하고 공고일 현재 용역이 완료된 것,
PPS-DEV-053,v4,1,0,④ 입찰공고일 기준 최근 3년 이내에 단일건으로 1억 원 이상 [수요기관(공공기관)]에서 발주한 유사사업 및 동등이상 관련 사업 등을 실적이 있는 업체(하도급 제외) ※ 실적증명이 가능하고 공고일 현재 용역이 완료된 것,
PPS-DEV-053,v12,1,0,,
PPS-DEV-053,v17,1,0,,
PPS-DEV-053,v21,0,1,,
PPS-DEV-054,v5,0,1,,"입찰공고일 전일부터 계약체결일까지 주된 영업소의 소재지를 경상남도, 부산광역시 내에 둔 사업자로 제한하며"
PPS-DEV-054,v7,1,0,"가. 입찰공고일 현재「지방자치단체를 당사자로 하는 계약에 관한 법률 시행령」제13조 및 같은 법 시행규칙 제14조에 따라 입찰의 참가자격을 갖춘 자로, 입찰공고일 전일부터 계약체결일까지 주된 영업소의 소재지를 경상남도, 부산광역시 내에 둔 사업자로 제한하며, 동법 시행령 제92조(부정당업자의 입찰참가자격 제한) 및 동법 시행규칙 제76조에 해당되지 않은 업체",
PPS-DEV-054,v8,1,0,,
PPS-DEV-054,v14,1,0,,
PPS-DEV-054,v22,0,1,,제안참여 업체가 6개 업체 이상인 경우 : 주최 측에서 1차 서류평가 결과 선정된 상위 5개 업체에 한하여 제안설명회 참가 기회 부여
