id,item,name,error,gold,prediction,gold_evidence,predicted_evidence
PPS-DEV-046,v1,참가자격 특정기관 제한,FN,1,0,,
PPS-DEV-053,v1,참가자격 특정기관 제한,FP,0,1,,④ 입찰공고일 기준 최근 3년 이내에 단일건으로 1억 원 이상 [수요기관(공공기관)]에서 발주한 유사사업 및 동등이상 관련 사업 등을 실적이 있는 업체(하도급 제외)
PPS-DEV-058,v1,참가자격 특정기관 제한,FN,1,0,,
PPS-DEV-063,v1,참가자격 특정기관 제한,FN,1,0,,
PPS-DEV-072,v1,참가자격 특정기관 제한,FN,1,0,,
PPS-DEV-172,v1,참가자격 특정기관 제한,FP,0,1,,「여성기업지원에 관한 법률」 제2조 제1호에 따른 여성기업
PPS-DEV-176,v1,참가자격 특정기관 제한,FP,0,1,,
PPS-DEV-02,v2,고시금액 미만 실적제한,FN,1,0,외국 학술지 공급계약을 3천만원 이상 체결한 실적이 있는 자,
PPS-DEV-03,v2,고시금액 미만 실적제한,FN,1,0,나. 공고일 기준 5년 이내 공공디자인 용역 실적이 3천만원 이상인 업체,
PPS-DEV-05,v2,고시금액 미만 실적제한,FP,0,1,,② 공고일 전일부터 기산하여 최근 7년간 지표·시굴·정밀발굴을 포함한 매장유산 조사업무를 수행하고 그 준공금액이 단일 용역으로 5억원 이상인 실적을 보유한 자
PPS-DEV-053,v2,고시금액 미만 실적제한,FN,1,0,④ 입찰공고일 기준 최근 3년 이내에 단일건으로 1억 원 이상 [수요기관(공공기관)]에서 발주한 유사사업 및 동등이상 관련 사업 등을 실적이 있는 업체(하도급 제외) ※ 실적증명이 가능하고 공고일 현재 용역이 완료된 것,
PPS-DEV-059,v2,고시금액 미만 실적제한,FP,0,1,,"공공기관(국가,지자체,공기업 포함) 통근버스 운행 실적이 2억원 이상 있는 업체만 참가 자격이 있습니다."
PPS-DEV-069,v2,고시금액 미만 실적제한,FN,1,0,○ | 최근 10년 이내 동종업종 실적 5천만원 이상 보유한 업체 |,
PPS-DEV-078,v2,고시금액 미만 실적제한,FN,1,0,"바. 최근 10년 이내 50,000,000원(VAT별도) 이상 디자인서비스 용역 수행 실적이 있는 자",
PPS-DEV-10,v3,실적제한 1배수 이상,FP,0,1,,
PPS-DEV-057,v3,실적제한 1배수 이상,FP,0,1,,동등·유사 장비 납품 실적 보유 업체
PPS-DEV-066,v3,실적제한 1배수 이상,FP,0,1,,최근 3년간 수련활동 수행 실적(중·고등학교 실적만)
PPS-DEV-112,v3,실적제한 1배수 이상,FP,0,1,,유사사업 수행실적 여부 | 입찰공고일 기준 최근 5년간 수행 실적 중 유사사업 수행실적 (무대조명으로 납품한 실적) | 예산금액의 100% 이상 | 6
PPS-DEV-143,v3,실적제한 1배수 이상,FP,0,1,,
PPS-DEV-171,v3,실적제한 1배수 이상,FP,0,1,,"최근 5년 이내 국가, 지방자치단체, 공공기관 또는 민간기업에서 발주한 단일건 계약금액 1억원(VAT포함) 이상의 유사 콘텐츠·교육 영상 제작 용역을 수행 완료한 실적"
PPS-DEV-175,v3,실적제한 1배수 이상,FP,0,1,,"최근 5년간 당해 용역과 동일한 용역의 이행실적 o 인정범위:“공고문 3.가”의 해당분야 완성(준공)된 용역이행실적 o 기준금액: 금99,000,000원(부가가치세 포함)"
PPS-DEV-199,v3,실적제한 1배수 이상,FP,0,1,,유사분야 사업수행실적 - 공고일 전일 기준 단일 건 금액 1억원 이상(5년 이내)
PPS-DEV-06,v4,"고시금액 이상 특정기관, 특정실적",FN,1,0,다. 최근 5년간 국가기관이 발주한 국제회의 개최 대행 용역의 이행실적이 4억원 이상인 업체,
PPS-DEV-042,v4,"고시금액 이상 특정기관, 특정실적",FN,1,0,,
PPS-DEV-051,v4,"고시금액 이상 특정기관, 특정실적",FN,1,0,③ 최근 5년 이내 이동형X선 투시장치(C-ARM) 장비 3억원 이상 대학병원에 납품한 실적이 있는 업체,
PPS-DEV-053,v4,"고시금액 이상 특정기관, 특정실적",FN,1,0,④ 입찰공고일 기준 최근 3년 이내에 단일건으로 1억 원 이상 [수요기관(공공기관)]에서 발주한 유사사업 및 동등이상 관련 사업 등을 실적이 있는 업체(하도급 제외) ※ 실적증명이 가능하고 공고일 현재 용역이 완료된 것,
PPS-DEV-059,v4,"고시금액 이상 특정기관, 특정실적",FN,1,0,"◦ 공고일 기준 최근 3년 이내 공공기관(국가,지자체,공기업 포함) 통근버스 운행 실적이 2억원 이상 있는 업체만 참가 자격이 있습니다.",
PPS-DEV-062,v4,"고시금액 이상 특정기관, 특정실적",FN,1,0,"2) 공고일 전일 기준 최근 5년 이내 국가,정부투자기관에서 시행한 단일 건 3억 원(VAT포함) 이상의 축제, 공연 등 문화행사 수행실적이 있어야 합니다.",
PPS-DEV-176,v4,"고시금액 이상 특정기관, 특정실적",FP,0,1,,
PPS-DEV-07,v5,고시금액 이상 지역제한,FN,1,0,마. 본사(주된 영업소)의 소재지가 서울특별시에 있는 업체,
PPS-DEV-045,v5,고시금액 이상 지역제한,FN,1,0,,
PPS-DEV-046,v5,고시금액 이상 지역제한,FN,1,0,,
PPS-DEV-048,v5,고시금액 이상 지역제한,FN,1,0,,
PPS-DEV-049,v5,고시금액 이상 지역제한,FN,1,0,,
PPS-DEV-057,v5,고시금액 이상 지역제한,FN,1,0,,
PPS-DEV-08,v6,"고시금액 미만 지역제한 시,군,구",FN,1,0,라. 입찰공고일 전일부터 계약체결일까지 주된 영업소가 서울특별시 [지역:r1|단위=기초|광역=서울특별시] 내에 소재하고 있는 업체이어야 합니다.,
PPS-DEV-039,v6,"고시금액 미만 지역제한 시,군,구",FP,0,1,,⑤ 입찰공고일 전날부터 입찰일까지(낙찰자는 계약체결일까지) 주된 영업소의 소재지[법원등기부 상 본점소재지(개인사업자인 경우 사업자등록증 또는 관련 법령에 따른 허가·인가·면허·등록·신고 등에 관련서류에 기재된 사업장의 소재지)]가 경기도 또는 서울특별시인 업체
PPS-DEV-061,v6,"고시금액 미만 지역제한 시,군,구",FN,1,0,,
PPS-DEV-066,v6,"고시금액 미만 지역제한 시,군,구",FN,1,0,,
PPS-DEV-070,v6,"고시금액 미만 지역제한 시,군,구",FN,1,0,,
PPS-DEV-071,v6,"고시금액 미만 지역제한 시,군,구",FN,1,0,,
PPS-DEV-072,v6,"고시금액 미만 지역제한 시,군,구",FN,1,0,,
PPS-DEV-09,v7,고시금액 미만 지역제한 인접 확대,FN,1,0,"마. 주된 영업소(본사 소재지를 말함)가 입찰공고일 현재 광주광역시, 전라남도의 관할구역 안에 있어야 합니다.",
