method,id,item,error,gold_evidence
extractor,PPS-DEV-01,v5,FP,
extractor,PPS-DEV-01,v6,FP,
extractor,PPS-DEV-01,v7,FP,
extractor,PPS-DEV-02,v4,FP,
extractor,PPS-DEV-03,v4,FP,
extractor,PPS-DEV-03,v5,FP,
extractor,PPS-DEV-03,v6,FP,
extractor,PPS-DEV-03,v7,FP,
extractor,PPS-DEV-04,v4,FP,
scan,PPS-DEV-05,v8,FN,입찰공고일 전일 현재 제주특별자치도에 법인등기부상 본점 소재지(개인사업자인 경우에는 사업자등록증 또는 관련 법령에 따른 허가·인가·면허·등록·신고 등에 관련된 서류에 기재된 사업장의 소재지)를 두고 당해자격을 입찰일(낙찰자는 계약체결일)까지 유지하고 있는 업체로서 다음 각호의 자격을 모두 충족하여야 합니다.
extractor,PPS-DEV-05,v4,FP,
extractor,PPS-DEV-05,v5,FP,
extractor,PPS-DEV-05,v6,FP,
extractor,PPS-DEV-05,v7,FP,
extractor,PPS-DEV-06,v5,FP,
extractor,PPS-DEV-06,v6,FP,
extractor,PPS-DEV-06,v7,FP,
extractor,PPS-DEV-07,v4,FP,
extractor,PPS-DEV-07,v6,FP,
extractor,PPS-DEV-07,v7,FP,
scan,PPS-DEV-08,v6,FN,라. 입찰공고일 전일부터 계약체결일까지 주된 영업소가 서울특별시 [지역:r1|단위=기초|광역=서울특별시] 내에 소재하고 있는 업체이어야 합니다.
extractor,PPS-DEV-08,v4,FP,
extractor,PPS-DEV-08,v5,FP,
extractor,PPS-DEV-08,v7,FP,
scan,PPS-DEV-09,v7,FN,"마. 주된 영업소(본사 소재지를 말함)가 입찰공고일 현재 광주광역시, 전라남도의 관할구역 안에 있어야 합니다."
extractor,PPS-DEV-09,v5,FP,
extractor,PPS-DEV-09,v7,FN,"마. 주된 영업소(본사 소재지를 말함)가 입찰공고일 현재 광주광역시, 전라남도의 관할구역 안에 있어야 합니다."
scan,PPS-DEV-10,v7,FN,③ 입찰공고일 전일부터 입찰일(낙찰자는 계약체결일)까지 법인등기부상 본점 소재지(개인사업자인 경우에는 사업자등록증 또는 관련 법령에 따른 허가·인가·면허·등록·신고 등에 관련된 서류에 기재된 사업장의 소재지)를 계속하여 전북특별자치도 또는 충청남도 또는 충청북도에 둔 업체여야 합니다.
extractor,PPS-DEV-10,v4,FP,
extractor,PPS-DEV-10,v5,FP,
extractor,PPS-DEV-10,v6,FP,
scan,PPS-DEV-11,v8,FN,최근 3년 이내에 단일 계약금액 5천만원 이상의 컨퍼런스·포럼 등 행사 운영 용역을 수행한 실적을 보유한 업체
extractor,PPS-DEV-11,v4,FP,
extractor,PPS-DEV-11,v5,FP,
extractor,PPS-DEV-11,v6,FP,
extractor,PPS-DEV-11,v7,FP,
extractor,PPS-DEV-12,v5,FP,
extractor,PPS-DEV-13,v4,FP,
extractor,PPS-DEV-13,v5,FP,
extractor,PPS-DEV-13,v6,FP,
extractor,PPS-DEV-13,v7,FP,
extractor,PPS-DEV-14,v4,FP,
extractor,PPS-DEV-14,v5,FP,
extractor,PPS-DEV-15,v4,FP,
extractor,PPS-DEV-15,v5,FP,
extractor,PPS-DEV-15,v6,FP,
extractor,PPS-DEV-15,v7,FP,
extractor,PPS-DEV-16,v4,FP,
extractor,PPS-DEV-16,v5,FP,
extractor,PPS-DEV-16,v6,FP,
extractor,PPS-DEV-16,v7,FP,
extractor,PPS-DEV-17,v4,FP,
extractor,PPS-DEV-17,v5,FP,
extractor,PPS-DEV-17,v6,FP,
extractor,PPS-DEV-17,v7,FP,
extractor,PPS-DEV-18,v5,FP,
extractor,PPS-DEV-18,v6,FP,
extractor,PPS-DEV-18,v7,FP,
extractor,PPS-DEV-19,v5,FP,
extractor,PPS-DEV-19,v6,FP,
extractor,PPS-DEV-19,v7,FP,
extractor,PPS-DEV-20,v5,FP,
extractor,PPS-DEV-21,v5,FP,
extractor,PPS-DEV-22,v5,FP,
scan,PPS-DEV-23,v6,FP,
extractor,PPS-DEV-23,v5,FP,
extractor,PPS-DEV-23,v7,FP,
extractor,PPS-DEV-25,v5,FP,
extractor,PPS-DEV-25,v6,FP,
extractor,PPS-DEV-25,v7,FP,
extractor,PPS-DEV-26,v4,FP,
scan,PPS-DEV-27,v6,FP,
extractor,PPS-DEV-27,v4,FP,
extractor,PPS-DEV-27,v5,FP,
extractor,PPS-DEV-27,v6,FP,
extractor,PPS-DEV-27,v7,FP,
extractor,PPS-DEV-28,v4,FP,
extractor,PPS-DEV-28,v5,FP,
extractor,PPS-DEV-28,v6,FP,
extractor,PPS-DEV-28,v7,FP,
extractor,PPS-DEV-29,v5,FP,
extractor,PPS-DEV-29,v6,FP,
extractor,PPS-DEV-29,v7,FP,
extractor,PPS-DEV-30,v4,FP,
extractor,PPS-DEV-30,v5,FP,
extractor,PPS-DEV-31,v4,FP,
extractor,PPS-DEV-31,v5,FP,
extractor,PPS-DEV-31,v7,FP,
extractor,PPS-DEV-32,v4,FP,
extractor,PPS-DEV-32,v5,FP,
extractor,PPS-DEV-32,v6,FP,
extractor,PPS-DEV-32,v7,FP,
extractor,PPS-DEV-033,v4,FP,
extractor,PPS-DEV-033,v5,FP,
extractor,PPS-DEV-033,v6,FP,
extractor,PPS-DEV-033,v7,FP,
extractor,PPS-DEV-034,v4,FP,
extractor,PPS-DEV-034,v5,FP,
extractor,PPS-DEV-034,v6,FP,
extractor,PPS-DEV-034,v7,FP,
extractor,PPS-DEV-036,v5,FP,
extractor,PPS-DEV-037,v5,FP,
extractor,PPS-DEV-037,v6,FP,
extractor,PPS-DEV-037,v7,FP,
extractor,PPS-DEV-038,v4,FP,
extractor,PPS-DEV-038,v5,FP,
scan,PPS-DEV-039,v7,FN,⑤ 입찰공고일 전날부터 입찰일까지(낙찰자는 계약체결일까지) 주된 영업소의 소재지[법원등기부 상 본점소재지(개인사업자인 경우 사업자등록증 또는 관련 법령에 따른 허가·인가·면허·등록·신고 등에 관련서류에 기재된 사업장의 소재지)]가 경기도 또는 서울특별시인 업체
extractor,PPS-DEV-039,v5,FP,
extractor,PPS-DEV-039,v7,FN,⑤ 입찰공고일 전날부터 입찰일까지(낙찰자는 계약체결일까지) 주된 영업소의 소재지[법원등기부 상 본점소재지(개인사업자인 경우 사업자등록증 또는 관련 법령에 따른 허가·인가·면허·등록·신고 등에 관련서류에 기재된 사업장의 소재지)]가 경기도 또는 서울특별시인 업체
extractor,PPS-DEV-040,v5,FP,
extractor,PPS-DEV-041,v5,FP,
extractor,PPS-DEV-041,v6,FP,
scan,PPS-DEV-042,v4,FN,
scan,PPS-DEV-042,v8,FN,
